Car Name,Variant,Fuel Mileage (km/l),Features
Toyota Corolla,XLi,18.6,"Airbags, Touchscreen, Alloy Rims, Power Windows, Seating Capacity: 4"
Toyota Yaris,GLi,10.6,"ABS, Touchscreen, AC, Power Steering, Power Windows, Seating Capacity: 7"
Suzuki Wagon R,Manual,16.0,"Power Windows, Power Steering, Alloy Rims, Rear Camera, Airbags, Seating Capacity: 7"
Proton Saga,Standard,13.2,"Cruise Control, ABS, Touchscreen, Airbags, Alloy Rims, Seating Capacity: 5"
Honda Civic,Manual,18.9,"Rear Camera, ABS, Cruise Control, Power Steering, Touchscreen, AC, Seating Capacity: 4"
Suzuki Alto,Manual,18.9,"AC, Sunroof, Airbags, Touchscreen, Alloy Rims, Cruise Control, Rear Camera, Seating Capacity: 4"
Hyundai Tucson,Automatic,12.0,"Touchscreen, AC, ABS, Power Steering, Seating Capacity: 7"
Honda City,Standard,11.1,"Power Steering, Sunroof, Touchscreen, Cruise Control, Seating Capacity: 5"
Kia Sportage,Standard,13.0,"Touchscreen, Airbags, ABS, Power Steering, Sunroof, AC, Alloy Rims, Seating Capacity: 4"
Suzuki Wagon R,Standard,18.8,"Cruise Control, Power Steering, AC, Sunroof, Seating Capacity: 5"
Toyota Corolla,1.5L,15.5,"Cruise Control, Sunroof, Power Windows, AC, Alloy Rims, ABS, Seating Capacity: 7"
Suzuki Alto,XLi,13.6,"ABS, Alloy Rims, Power Steering, AC, Seating Capacity: 4"
Toyota Corolla,1.3L,10.3,"Power Steering, Cruise Control, AC, ABS, Sunroof, Power Windows, Alloy Rims, Seating Capacity: 4"
Hyundai Tucson,1.5L,18.3,"Sunroof, Airbags, Power Windows, Alloy Rims, Seating Capacity: 4"
Toyota Yaris,Turbo,16.8,"Sunroof, AC, Alloy Rims, ABS, Power Windows, Power Steering, Touchscreen, Seating Capacity: 5"
Suzuki Wagon R,1.3L,13.4,"AC, Touchscreen, Cruise Control, Power Steering, Power Windows, ABS, Seating Capacity: 4"
Changan Alsvin,XLi,18.7,"Cruise Control, Power Steering, Sunroof, Rear Camera, ABS, Airbags, Seating Capacity: 7"
Changan Alsvin,Deluxe,18.3,"Airbags, Power Steering, Cruise Control, Sunroof, ABS, Seating Capacity: 5"
